Supplier_ID,Product_Category,Lead_Time_Days,On_Time_Delivery_%,Defect_Rate_%,Price_Variance_%,Order_Quantity,Distance_KM,Supplier_Risk_Score,Delivery_Score,Quality_Score,Cost_Score,Logistics_Score,Risk_Adjusted_Score,Supplier_Final_Score,Rank,Category,Supplier_Final_Score_AHP,Rank_AHP,Cost_Heavy_Score,Simulated_Delay,Stress_Score
1,Furniture,13,75.05,7.39,4.92,4441,118,8.94,75.05,26.10000000000001,75.4,97.64,10.600000000000009,52.23400000000001,953.0,Low Performer,56.11338137776203,949.0,57.97400000000001,15.042446162035754,49.17688845949107
2,Pharma,13,89.28,3.22,2.54,2209,1899,9.63,89.28,67.8,87.3,62.02,3.6999999999999886,63.77099999999999,640.0,Medium Performer,69.88584764267989,466.0,68.728,18.50791782562165,60.568020543594585
3,Food,5,92.78,5.94,14.4,3298,1217,2.73,92.78,40.599999999999994,28.0,75.66,72.7,64.29,610.0,Medium Performer,65.26114193548386,690.0,54.947,7.547987053674738,74.63300323658132
4,Pharma,17,85.01,7.21,7.09,3781,1984,7.46,85.01,27.900000000000006,64.55,60.32,25.400000000000006,53.272499999999994,938.0,Low Performer,57.57832156445705,925.0,55.01650000000001,17.241923542156584,55.26701911446086
5,Pharma,5,86.27,3.92,-0.61,3879,1401,6.98,86.27,60.8,96.95,71.98,30.19999999999999,68.86149999999999,395.0,Medium Performer,73.01517043601558,305.0,75.0745,5.116289564103185,68.0384276089742
6,Apparel,6,98.54,3.83,10.0,1677,1231,4.09,98.54,61.7,50.0,75.38,59.1,71.845,269.0,Medium Performer,74.33831378943637,249.0,65.951,7.476595945454056,77.9658510136365
7,Food,6,95.42,5.02,12.11,3522,1404,1.17,95.42,49.800000000000004,39.45,71.92,88.3,71.8455,268.0,Medium Performer,72.21579723502305,342.0,63.2885,9.28051522982585,81.05987119254354
8,Food,9,97.43,4.94,-6.87,77,382,7.21,97.43,50.599999999999994,65.65,92.36,27.900000000000006,66.5425,514.0,Medium Performer,70.86319522627909,404.0,66.00450000000001,10.908260419109428,66.25543489522263
9,Food,11,94.41,6.55,-4.99,2035,982,9.51,94.41,34.5,75.05,80.36,4.900000000000006,57.2215,859.0,Low Performer,63.24416956162117,762.0,60.8205,10.385844886220472,55.85603877844488
10,Pharma,18,73.27,4.07,-4.59,4203,1530,6.69,73.27,59.3,77.05,69.4,33.099999999999994,61.9235,715.0,Medium Performer,64.69113106463429,715.0,65.3865,19.418873593812148,61.56278160154696
11,Furniture,10,74.47,7.97,7.28,1571,1632,4.92,74.47,20.299999999999997,63.6,67.36,50.8,53.85199999999999,924.0,Low Performer,55.61324667375635,959.0,55.57,12.405328328926924,58.29116791776826
12,Food,23,85.8,0.95,5.08,346,210,5.73,85.8,90.5,74.6,95.8,42.699999999999996,77.67499999999998,100.0,Medium Performer,80.04047110953562,87.0,77.355,28.704931171394197,72.57376720715145
13,Pharma,20,77.38,0.52,5.47,2231,858,2.8,77.38,94.8,72.65,82.84,72.0,80.4955,49.0,Top Performer,80.57693163180903,75.0,78.9475,21.18364945763051,80.74908763559237
14,Apparel,15,84.3,5.3,13.52,3452,518,7.75,84.3,47.0,32.400000000000006,89.64,22.5,55.364,900.0,Low Performer,58.64364972232069,903.0,49.939,16.122627918661134,59.41934302033472
15,Furniture,9,81.83,2.74,9.4,2346,1355,7.72,81.83,72.6,53.0,72.9,22.799999999999997,62.499,695.0,Medium Performer,66.09584896608767,652.0,60.145999999999994,9.033177609798482,67.04920559755038
16,Apparel,10,86.48,2.3,-6.8,2647,284,2.31,86.48,77.0,66.0,94.32,76.9,79.906,62.0,Medium Performer,80.1089563511757,85.0,76.763,14.28234236770759,81.52441440807311
17,Furniture,23,92.41,2.84,-1.31,951,220,8.9,92.41,71.6,93.45,95.6,11.0,71.4005,288.0,Medium Performer,76.64961002008742,179.0,76.71950000000001,23.760034175250404,62.812491456187395
18,Pharma,12,91.46,2.42,0.88,1148,513,3.42,91.46,75.8,95.6,89.74,65.8,82.862,24.0,Top Performer,84.66990407656857,22.0,85.756,13.284493910596119,79.94387652235096
19,Electronics,24,85.64,0.73,-0.1,1727,1936,9.84,85.64,92.7,99.5,61.28,1.5999999999999943,70.24,331.0,Medium Performer,76.28625151837409,190.0,76.86099999999999,26.432386000685025,63.37690349982874
20,Furniture,2,94.67,7.79,6.73,2931,1151,4.45,94.67,22.099999999999994,66.35,76.98,55.5,62.676500000000004,689.0,Medium Performer,65.48986912442395,679.0,62.59949999999999,1.7576171009938433,67.62809572475155
21,Apparel,15,82.93,2.16,12.3,4916,712,2.6,82.93,78.4,38.5,85.76,74.0,73.63,204.0,Medium Performer,73.53520964197094,282.0,65.417,15.40975408554655,79.98006147861337
22,Pharma,6,96.9,6.01,-2.35,1428,1587,4.17,96.9,39.900000000000006,88.25,68.26,58.3,70.7685,308.0,Medium Performer,73.98031341131986,265.0,73.8185,8.673765119143846,71.60655872021404
23,Furniture,22,72.14,6.22,3.8,1298,51,4.96,72.14,37.800000000000004,81.0,98.98,50.4,63.22,670.0,Medium Performer,64.33197383906415,729.0,67.796,21.079133496120797,59.8152166259698
24,Electronics,15,98.64,7.47,9.74,3785,324,1.62,98.64,25.299999999999997,51.3,93.52,83.8,69.724,355.0,Medium Performer,70.45335297175941,435.0,64.66499999999999,15.109073094520898,73.15773172636978
25,Electronics,5,89.64,0.73,0.41,4291,797,6.2,89.64,92.7,97.95,84.06,38.0,80.7655,44.0,Top Performer,84.28685416518964,27.0,84.85650000000001,4.667454226220741,78.91813644344481
26,Food,23,81.4,7.04,-5.8,1314,338,6.38,81.4,29.599999999999994,71.0,93.24,36.2,59.034,801.0,Low Performer,61.76972889046437,824.0,61.803999999999995,27.1831868229362,55.00420329426595
27,Food,24,75.91,4.45,1.87,1957,1050,7.65,75.91,55.5,90.65,79.0,23.5,62.845499999999994,685.0,Medium Performer,66.43440465555949,638.0,69.43450000000001,37.850288262078195,54.264927934480454
28,Apparel,2,84.38,5.24,-8.62,1108,292,1.26,84.38,47.599999999999994,56.900000000000006,94.16,87.4,72.645,235.0,Medium Performer,72.03015186104217,354.0,68.837,2.346922311389171,79.25826942215271
29,Furniture,23,75.84,5.33,13.56,2799,952,5.87,75.84,46.7,32.2,80.96000000000001,41.3,55.613,893.0,Low Performer,57.23321089448186,929.0,50.06900000000001,27.90710577663019,58.98322355584246
30,Furniture,24,74.99,6.65,-8.13,2098,267,1.48,74.99,33.5,59.349999999999994,94.66,85.2,66.2805,525.0,Medium Performer,65.18771887037694,695.0,64.7165,24.981853267838453,67.17703668304038
31,Food,20,88.52,3.0,0.96,4298,584,7.31,88.52,70.0,95.2,88.32,26.900000000000006,72.54799999999999,241.0,Medium Performer,76.67205884438143,176.0,77.89099999999999,23.75352782083091,65.41661804479227
32,Furniture,9,85.69,6.0,3.25,2526,583,1.5,85.69,40.0,83.75,88.34,85.0,74.1035,195.0,Medium Performer,74.27755961243057,250.0,76.03450000000001,13.012290551425707,74.41942736214358
33,Furniture,16,90.1,4.46,14.63,4066,621,9.21,90.1,55.4,26.849999999999994,87.58,7.8999999999999915,55.24549999999999,903.0,Low Performer,59.821741250147696,877.0,48.4405,19.657310040442155,58.435672489889456
34,Electronics,22,97.89,6.45,-5.85,4653,1052,7.32,97.89,35.5,70.75,78.96000000000001,26.799999999999997,62.110499999999995,709.5,Medium Performer,66.95967125132931,610.0,63.3565,35.77978836107352,56.102552909731614
35,Food,16,85.97,7.93,-7.14,3247,1562,5.57,85.97,20.700000000000003,64.30000000000001,68.76,44.3,56.34700000000001,874.0,Low Performer,59.370008105872614,886.0,57.36,23.23033507937821,56.93491623015545
36,Pharma,10,87.43,2.0,-9.78,4636,846,4.97,87.43,80.0,51.1,83.08,50.300000000000004,72.262,255.0,Medium Performer,74.24846839182322,253.0,67.224,11.827367309110134,76.47565817272248
37,Food,22,72.69,7.96,-6.11,3603,432,2.18,72.69,20.400000000000006,69.45,91.36,78.2,62.100500000000004,711.0,Medium Performer,61.55459113789436,829.0,63.7915,25.934533347394694,61.33886666315132
38,Pharma,10,91.53,1.17,-4.82,4490,1499,3.62,91.53,88.3,75.9,70.02,63.8,80.681,46.0,Top Performer,82.69921748788845,46.0,79.103,15.261846275247262,82.09203843118819
39,Electronics,11,82.0,0.52,5.76,1811,1406,8.82,82.0,94.8,71.2,71.88,11.799999999999997,68.52799999999999,409.0,Medium Performer,73.01582526290913,304.0,69.238,13.502116266881504,68.77447093327963
40,Apparel,21,99.3,0.83,-4.51,270,767,9.14,99.3,91.7,77.45,84.66,8.599999999999994,74.5185,180.0,Medium Performer,80.35067663948952,78.0,75.0635,31.117470553141235,67.12063236171468
41,Furniture,22,94.7,3.06,-9.49,4868,772,1.01,94.7,69.4,52.55,84.56,89.9,80.0785,60.0,Top Performer,80.12072295876166,84.0,73.15350000000001,35.21279229655733,79.69680192586068
42,Electronics,10,85.67,5.25,10.67,4673,1114,6.35,85.67,47.5,46.65,77.72,36.5,59.6455,781.0,Low Performer,62.58243755169561,796.0,56.2085,11.591561264351782,64.51960968391205
43,Furniture,4,73.7,1.02,-0.86,2938,1584,7.47,73.7,89.8,95.7,68.32,25.299999999999997,70.807,307.0,Medium Performer,74.24958629327661,252.0,76.82199999999999,5.081564292748013,70.929608926813
44,Apparel,21,95.78,0.54,-1.16,1714,1581,6.57,95.78,94.6,94.2,68.38,34.3,80.21199999999999,56.0,Top Performer,84.70017168852652,21.0,83.02899999999998,29.316017575178794,73.84099560620531
45,Apparel,12,93.99,7.53,-2.44,4036,433,1.74,93.99,24.700000000000003,87.8,91.34,82.6,73.196,219.0,Medium Performer,74.21521895308993,255.0,75.99199999999999,16.242000093654045,71.26199997658648
46,Electronics,7,75.54,6.66,14.38,4626,438,2.96,75.54,33.400000000000006,28.099999999999994,91.24,70.4,58.43100000000001,819.0,Low Performer,57.956745362164725,918.0,51.307,9.4646870260887,67.46882824347783
47,Apparel,3,78.86,6.57,-5.75,3027,1421,3.25,78.86,34.3,71.25,71.58,67.5,63.5785,654.0,Medium Performer,64.55761323407775,722.0,64.85249999999999,2.799915703693359,69.46502107407666
48,Pharma,8,93.8,7.13,12.46,1921,1954,8.49,93.8,28.700000000000003,37.699999999999996,60.92,15.099999999999994,50.081999999999994,983.0,Low Performer,55.31393144275079,962.0,46.052,8.24253323494112,57.33936669126472
49,Apparel,19,75.56,5.75,9.42,1512,1742,5.17,75.56,42.5,52.9,65.16,48.3,57.403999999999996,851.0,Low Performer,59.19888349285124,889.0,55.88799999999999,20.917985320423483,61.36050366989413
50,Furniture,3,97.53,1.28,-8.09,394,1703,5.38,97.53,87.2,59.55,65.94,46.2,75.82549999999999,147.0,Medium Performer,79.28131033912325,105.0,71.3125,4.328652482081205,81.6503368794797
51,Furniture,18,82.74,3.49,14.67,94,213,9.41,82.74,65.1,26.650000000000006,95.74,5.900000000000006,55.848499999999994,889.0,Low Performer,59.77816471700342,878.0,49.354499999999994,17.15265033434321,59.14683741641419
52,Furniture,12,72.61,5.92,-3.22,2118,205,6.73,72.61,40.8,83.9,95.9,32.69999999999999,60.698,753.0,Medium Performer,63.06852518019614,773.0,66.542,18.055744097229216,57.01356397569269
53,Furniture,13,94.47,2.6,-7.54,1564,737,9.09,94.47,74.0,62.3,85.26,9.099999999999994,66.53199999999998,515.0,Medium Performer,71.82379305210918,363.0,65.38999999999999,17.627568696604573,64.98560782584886
54,Pharma,20,81.21,5.66,10.73,2648,294,5.11,81.21,43.4,46.349999999999994,94.12,48.9,61.357499999999995,735.0,Medium Performer,62.836149403284885,783.0,57.89149999999999,28.616920898891095,61.223269775277224
55,Food,23,85.79,0.68,7.67,1051,205,2.34,85.79,93.2,61.65,95.9,76.6,83.1945,21.0,Top Performer,83.19451487652131,36.0,78.4555,23.324147844673007,83.06646303883176
56,Electronics,8,73.37,2.8,5.43,1083,316,9.37,73.37,72.0,72.85,93.68,6.300000000000011,61.5665,728.0,Medium Performer,65.42717244475953,681.0,64.8845,9.715683780304207,60.48857905492395
57,Furniture,21,70.08,4.62,-6.1,2090,1697,5.13,70.08,53.8,69.5,66.06,48.7,61.245,738.0,Medium Performer,62.76377173579109,786.0,63.012,26.45555970175153,61.53111007456212
58,Apparel,7,89.14,5.24,1.96,323,23,2.63,89.14,47.599999999999994,90.2,99.54,73.7,76.866,121.0,Medium Performer,77.84346224742998,144.0,79.92699999999999,8.75695380283177,75.42076154929205
59,Furniture,22,85.46,4.83,9.51,2697,1870,3.72,85.46,51.7,52.45,62.6,62.8,65.2505,574.0,Medium Performer,66.86976752924494,616.0,61.469500000000004,27.700892563725553,68.06477685906862
60,Apparel,2,87.81,5.73,-2.41,1829,1179,1.46,87.81,42.699999999999996,87.95,76.42,85.4,74.9325,163.0,Medium Performer,75.53767155854896,211.0,77.3365,2.289389407841955,78.40515264803952
61,Apparel,18,93.81,0.55,-2.21,4526,1971,5.21,93.81,94.5,88.95,60.58,47.9,80.74849999999999,45.0,Top Performer,84.30856774193549,26.0,82.0375,22.086745491829173,78.5308136270427
62,Furniture,12,89.4,1.26,-9.92,528,1090,8.68,89.4,87.4,50.4,78.2,13.200000000000003,66.69000000000001,506.0,Medium Performer,71.2547909724684,386.0,62.8,16.88055349215645,68.27986162696088
63,Pharma,23,75.24,7.02,-5.64,565,732,9.4,75.24,29.80000000000001,71.8,85.36,6.0,50.528000000000006,981.0,Low Performer,54.90527316554413,968.0,55.574000000000005,22.234043381171904,47.201489154707026
64,Apparel,19,80.82,5.61,11.89,4336,789,9.39,80.82,43.9,40.55,84.22,6.099999999999994,50.945499999999996,976.0,Low Performer,55.25424837528063,963.0,48.473499999999994,28.67879045184053,50.53530238703987
65,Apparel,22,97.18,1.35,1.04,1241,1243,2.13,97.18,86.5,94.8,75.14,78.7,88.25299999999999,3.0,Top Performer,89.91283166725746,2.0,89.23499999999999,30.72035540802117,82.91491114799472
66,Furniture,18,93.1,6.82,14.61,2718,538,4.44,93.1,31.799999999999997,26.950000000000003,89.24,55.599999999999994,59.966499999999996,772.0,Low Performer,61.796291338768754,822.0,51.6765,18.125273186340003,65.593681703415
67,Apparel,8,86.7,2.32,-0.11,1461,807,1.25,86.7,76.8,99.45,83.86,87.5,86.0135,9.0,Top Performer,86.24811194611839,12.0,89.01849999999999,10.214137669528514,85.19646558261788
68,Apparel,18,77.67,4.09,7.88,3330,353,8.7,77.67,59.1,60.6,92.94,13.0,59.059999999999995,800.0,Low Performer,62.71940574264445,790.0,59.80800000000001,24.845395594168963,56.23115110145776
69,Furniture,21,79.06,1.59,-2.95,321,1748,4.23,79.06,84.1,85.25,65.03999999999999,57.699999999999996,75.5745,151.0,Medium Performer,77.2979865532317,159.0,77.6285,20.011768039680128,75.21205799007997
70,Furniture,10,91.96,5.83,-0.9,192,1644,6.68,91.96,41.7,95.5,67.12,33.2,65.69,557.0,Medium Performer,70.25162157627318,447.0,71.849,12.083956866753201,63.6940107833117
71,Electronics,18,95.54,5.5,-5.23,3382,1312,7.43,95.54,45.0,73.85,73.76,25.700000000000003,63.50550000000001,656.0,Medium Performer,68.35627753751623,542.0,65.18650000000001,21.317344916993978,61.230663770751505
72,Pharma,21,90.14,2.08,-1.32,837,218,4.87,90.14,79.2,93.4,95.64,51.3,80.676,47.0,Top Performer,83.14060924022213,37.0,83.81699999999998,22.48856172147104,74.53785956963225
73,Pharma,23,94.29,6.98,3.68,1731,650,3.76,94.29,30.19999999999999,81.6,87.0,62.400000000000006,69.257,380.0,Medium Performer,71.56803667730118,376.0,71.518,28.024841449114458,64.71628963772139
74,Apparel,23,93.0,3.51,14.79,672,1368,9.66,93.0,64.9,26.05000000000001,72.64,3.4000000000000057,55.9765,882.0,Low Performer,61.316989790854315,835.0,48.471500000000006,24.838681750571162,59.11532956235721
75,Pharma,9,74.49,2.69,6.61,3891,1321,9.68,74.49,73.1,66.94999999999999,73.58,3.200000000000003,58.662499999999994,812.0,Low Performer,63.138993690180776,767.0,60.7885,13.273752724147327,59.379061818963166
76,Apparel,18,82.72,1.64,-5.02,3726,261,3.6,82.72,83.6,74.9,94.78,64.0,79.22899999999998,70.0,Medium Performer,80.0582388514711,86.0,78.55699999999999,19.344080443221323,77.74397988919466
77,Electronics,8,74.59,2.5,-8.88,2622,1298,5.32,74.59,75.0,55.599999999999994,74.03999999999999,46.8,66.231,529.0,Medium Performer,67.74900909842844,572.0,63.80199999999999,10.867166304021053,71.38070842399473
78,Furniture,2,77.06,0.67,-6.84,3310,280,9.76,77.06,93.3,65.8,94.4,2.4000000000000057,66.233,528.0,Medium Performer,70.40744660285951,437.0,66.902,1.737845444951934,67.75553863876203
79,Furniture,14,96.08,4.87,4.06,4762,1957,1.04,96.08,51.3,79.7,60.86,89.6,77.61,101.0,Medium Performer,78.74036289731774,117.0,76.89699999999999,16.346932549220107,80.15826686269497
80,Furniture,24,84.19,6.82,9.13,116,929,4.71,84.19,31.799999999999997,54.349999999999994,81.42,52.9,60.08149999999999,768.0,Medium Performer,61.962665272362045,817.0,58.29750000000001,28.85909355528652,60.00772661117837
81,Pharma,20,86.06,4.62,13.51,4336,1733,1.9,86.06,53.8,32.45,65.34,81.0,66.8695,501.0,Medium Performer,67.02086142030012,607.0,58.0135,23.222835797537876,74.40929105061554
82,Electronics,20,75.35,2.14,-9.6,4666,428,5.58,75.35,78.6,52.0,91.44,44.2,68.03899999999999,434.0,Medium Performer,69.3479801016188,498.0,64.764,22.414726811218433,68.93381829719539
83,Pharma,18,79.37,0.75,3.07,1190,1759,1.22,79.37,92.5,84.65,64.82,87.8,83.6755,15.0,Top Performer,83.45514522037102,32.0,83.65350000000001,19.19694590875756,85.11826352281061
84,Pharma,14,76.91,2.11,1.77,2364,804,4.66,76.91,78.9,91.15,83.92,53.4,75.54249999999999,152.0,Medium Performer,77.0902220725511,165.0,79.4665,18.91271418404173,72.57432145398957
85,Electronics,17,76.19,3.62,6.4,2582,1244,2.99,76.19,63.8,68.0,75.12,70.1,70.539,315.0,Medium Performer,70.89284877702941,403.0,69.82499999999999,23.798156707324292,71.57296082316893
86,Electronics,9,89.14,6.2,3.99,3630,1398,5.8,89.14,38.0,80.05,72.03999999999999,42.0,63.853500000000004,633.0,Medium Performer,67.33568356374808,594.0,66.9495,10.652110405458028,64.62197239863549
87,Electronics,20,77.71,1.91,7.18,1237,1109,9.96,77.71,80.9,64.1,77.82,0.3999999999999915,61.014999999999986,743.0,Medium Performer,65.74788259482453,669.0,61.998999999999995,19.61344996791344,59.84913750802164
