Supplier_ID,Product_Category,Lead_Time_Days,On_Time_Delivery_%,Defect_Rate_%,Price_Variance_%,Order_Quantity,Distance_KM,Supplier_Risk_Score,Delivery_Score,Quality_Score,Cost_Score,Logistics_Score,Risk_Adjusted_Score,Supplier_Final_Score,Rank,Category
1,Furniture,13,75.05,7.39,4.92,4441,118,8.94,75.05,26.10000000000001,75.4,97.64,10.600000000000009,52.23400000000001,953.0,Low Performer
2,Pharma,13,89.28,3.22,2.54,2209,1899,9.63,89.28,67.8,87.3,62.02,3.6999999999999886,63.77099999999999,640.0,Medium Performer
3,Food,5,92.78,5.94,14.4,3298,1217,2.73,92.78,40.599999999999994,28.0,75.66,72.7,64.29,610.0,Medium Performer
4,Pharma,17,85.01,7.21,7.09,3781,1984,7.46,85.01,27.900000000000006,64.55,60.32,25.400000000000006,53.272499999999994,938.0,Low Performer
5,Pharma,5,86.27,3.92,-0.61,3879,1401,6.98,86.27,60.8,96.95,71.98,30.19999999999999,68.86149999999999,395.0,Medium Performer
6,Apparel,6,98.54,3.83,10.0,1677,1231,4.09,98.54,61.7,50.0,75.38,59.1,71.845,269.0,Medium Performer
7,Food,6,95.42,5.02,12.11,3522,1404,1.17,95.42,49.800000000000004,39.45,71.92,88.3,71.8455,268.0,Medium Performer
8,Food,9,97.43,4.94,-6.87,77,382,7.21,97.43,50.599999999999994,65.65,92.36,27.900000000000006,66.5425,514.0,Medium Performer
9,Food,11,94.41,6.55,-4.99,2035,982,9.51,94.41,34.5,75.05,80.36,4.900000000000006,57.2215,859.0,Low Performer
10,Pharma,18,73.27,4.07,-4.59,4203,1530,6.69,73.27,59.3,77.05,69.4,33.099999999999994,61.9235,715.0,Medium Performer
11,Furniture,10,74.47,7.97,7.28,1571,1632,4.92,74.47,20.299999999999997,63.6,67.36,50.8,53.85199999999999,924.0,Low Performer
12,Food,23,85.8,0.95,5.08,346,210,5.73,85.8,90.5,74.6,95.8,42.699999999999996,77.67499999999998,100.0,Medium Performer
13,Pharma,20,77.38,0.52,5.47,2231,858,2.8,77.38,94.8,72.65,82.84,72.0,80.4955,49.0,Top Performer
14,Apparel,15,84.3,5.3,13.52,3452,518,7.75,84.3,47.0,32.400000000000006,89.64,22.5,55.364,900.0,Low Performer
15,Furniture,9,81.83,2.74,9.4,2346,1355,7.72,81.83,72.6,53.0,72.9,22.799999999999997,62.499,695.0,Medium Performer
16,Apparel,10,86.48,2.3,-6.8,2647,284,2.31,86.48,77.0,66.0,94.32,76.9,79.906,62.0,Medium Performer
