Warehouse,City,Transportation_cost,Fixed,Capacity,Demand
Dhaka_W1,Dhaka,2,50000,8000,5000
Chittagong_W2,Dhaka,5,42000,6000,5000
Sylhet_W3,Dhaka,6,30000,4000,5000
Rajshahi_W4,Dhaka,4,35000,5000,5000
Khulna_W5,Dhaka,4,38000,5500,5000
Dhaka_W1,Chittagong,5,50000,8000,3200
Chittagong_W2,Chittagong,2,42000,6000,3200
Sylhet_W3,Chittagong,7,30000,4000,3200
Rajshahi_W4,Chittagong,6,35000,5000,3200
Khulna_W5,Chittagong,3,38000,5500,3200
Dhaka_W1,Sylhet,6,50000,8000,1800
Chittagong_W2,Sylhet,7,42000,6000,1800
Sylhet_W3,Sylhet,2,30000,4000,1800
Rajshahi_W4,Sylhet,6,35000,5000,1800
Khulna_W5,Sylhet,7,38000,5500,1800
Dhaka_W1,Rajshahi,4,50000,8000,1500
Chittagong_W2,Rajshahi,6,42000,6000,1500
Sylhet_W3,Rajshahi,6,30000,4000,1500
Rajshahi_W4,Rajshahi,2,35000,5000,1500
Khulna_W5,Rajshahi,5,38000,5500,1500
Dhaka_W1,Khulna,4,50000,8000,2000
Chittagong_W2,Khulna,3,42000,6000,2000
Sylhet_W3,Khulna,7,30000,4000,2000
Rajshahi_W4,Khulna,5,35000,5000,2000
Khulna_W5,Khulna,2,38000,5500,2000
Dhaka_W1,Barisal,3,50000,8000,1200
Chittagong_W2,Barisal,4,42000,6000,1200
Sylhet_W3,Barisal,6,30000,4000,1200
Rajshahi_W4,Barisal,6,35000,5000,1200
Khulna_W5,Barisal,4,38000,5500,1200
Dhaka_W1,Rangpur,5,50000,8000,1700
Chittagong_W2,Rangpur,6,42000,6000,1700
Sylhet_W3,Rangpur,5,30000,4000,1700
Rajshahi_W4,Rangpur,3,35000,5000,1700
Khulna_W5,Rangpur,6,38000,5500,1700
Dhaka_W1,Mymensingh,2,50000,8000,1400
Chittagong_W2,Mymensingh,5,42000,6000,1400
Sylhet_W3,Mymensingh,4,30000,4000,1400
Rajshahi_W4,Mymensingh,4,35000,5000,1400
Khulna_W5,Mymensingh,5,38000,5500,1400
