Scenario,Product,Stockout_Rate,Service_Level,Avg_Unmet_Demand,Avg_Total_Cost
Base,P1,0.011,0.9997510798269221,0.24948614662499108,12534.65859196125
Base,P2,0.046,0.9987764584961543,0.9772886742644573,8006.9223454507755
Base,P3,0.028,0.9989221432150829,0.6443720847272735,8986.738898118929
HighDemand,P1,0.793,0.9095121786858994,118.04005700589461,19257.071028170918
HighDemand,P2,0.922,0.8580610436728932,148.24193139675492,13408.901007478207
HighDemand,P3,0.985,0.7809564019854707,196.22110522803362,19323.759852619954
SupplyDelay,P1,0.007,0.9998988312548802,0.10125859369751469,12513.632790849811
SupplyDelay,P2,0.031,0.9992012359831995,0.6359703937259586,7974.650345542498
SupplyDelay,P3,0.022,0.9993798622346249,0.37268737365659993,9025.80755893227
CapacityConstraint,P1,0.009,0.9997427003713757,0.25850038291057353,12564.796945028073
CapacityConstraint,P2,0.045,0.9986509893314055,1.0815037568631165,8038.644188079391
CapacityConstraint,P3,0.023,0.999255816236647,0.44741642422941263,9031.687461589712
CostShock,P1,0.008,0.9998243930576454,0.17569045258966662,15511.763317528914
CostShock,P2,0.048,0.9986959148047216,1.0440789354460918,10268.839627845022
CostShock,P3,0.011,0.9996633538405076,0.20233866976688092,10824.836253541525
