Supplier_ID,Supplier_Name,Region,Product_Category,Orders_Count,On_Time_Delivery_%,Defect_Rate_%,Avg_Lead_Time_Days,Cost_per_Unit,Fill_Rate_%,Response_Time_Hours,Contract_Compliance_%,Monthly_Spend_USD,Supplier_Risk_Level,Sustainability_Score,Overall_Score,Risk_Score
SUP001,Johnson-Ritter,North America,Raw Materials,299,85.54,4.4,19,199.89,76.78,27.48,89.5,15443.14,Low,64.34,75.28,3
SUP002,"Miller, Adams and Shaffer",Middle East,Machinery,281,70.06,1.58,25,414.77,75.95,53.87,75.07,93474.82,Medium,91.84,78.28,2
SUP003,"Jacobs, Baker and Boone",Middle East,Electronics,402,70.98,6.39,23,474.15,93.63,54.16,73.18,414248.22,High,69.75,68.15,1
SUP004,Johnson-Sampson,Asia,Raw Materials,403,77.68,2.12,21,318.49,75.23,9.55,95.57,236601.59,High,54.63,76.89,1
SUP005,Reyes LLC,Africa,Packaging,951,95.2,6.49,2,234.65,97.74,3.22,86.02,144930.99,Low,82.27,80.52,3
SUP006,Mcmahon and Sons,Middle East,Textiles,302,93.88,4.39,20,442.78,94.85,53.38,73.21,420702.25,High,63.58,77.44,1
SUP007,"Cook, Soto and Black",North America,Packaging,587,83.19,3.51,27,202.84,93.65,71.14,98.53,139334.4,Medium,98.22,84.64,2
SUP008,"Blackburn, Alvarez and Roberson",South America,Machinery,853,83.84,2.59,29,81.91,81.28,48.68,97.59,212666.25,High,88.84,83.04,1
SUP009,"Davis, Sullivan and Mcbride",Middle East,Textiles,696,80.01,2.04,10,489.65,79.23,3.99,94.54,121332.33,High,92.58,84.88,1
SUP010,"Warren, Thornton and Mills",Africa,Textiles,486,89.57,5.22,21,457.91,95.44,21.79,73.17,356922.99,Low,84.1,77.76,3
SUP011,Shelton-Parsons,Asia,Packaging,581,96.9,2.88,19,385.37,81.62,53.07,75.97,414684.51,Medium,56.67,78.7,2
SUP012,"Edwards, Powell and Shaw",Europe,Raw Materials,219,84.47,0.51,3,461.01,89.01,17.42,88.61,420061.93,High,68.59,86.73,1
SUP013,Green-Brennan,Middle East,Packaging,418,86.71,1.36,16,448.68,95.97,53.24,78.78,474427.33,Low,75.92,84.96,3
SUP014,"Fowler, Cox and Santos",North America,Electronics,864,73.46,3.81,3,168.63,97.84,34.21,70.79,383543.82,High,61.51,74.97,1
SUP015,"Tapia, Hartman and Williams",North America,Raw Materials,469,90.07,4.56,11,490.98,88.4,29.45,89.46,329742.44,High,98.99,83.83,1
SUP016,Walker Group,Europe,Raw Materials,460,73.86,7.47,24,272.57,77.03,61.17,73.24,458627.39,High,90.25,67.2,1
SUP017,"Humphrey, Clark and Oconnell",North America,Chemicals,479,78.95,7.93,14,159.98,93.93,21.45,99.4,366263.69,High,41.94,67.77,1
SUP018,Morales-Russell,Asia,Machinery,777,82.25,3.84,3,431.59,87.36,38.05,71.15,308828.71,Low,92.11,80.18,3
SUP019,Gibson-Armstrong,Europe,Raw Materials,82,71.0,7.54,7,66.04,86.36,11.47,85.7,429046.43,Low,82.76,70.19,3
SUP020,"Smith, Ali and Steele",Asia,Raw Materials,399,91.77,7.09,15,464.62,88.22,37.01,93.31,480835.79,Medium,56.7,73.0,2
SUP021,"Cole, Lawrence and Miller",Middle East,Machinery,183,90.57,4.19,3,52.73,75.96,28.53,99.04,125672.31,Medium,62.44,79.58,2
SUP022,King-Hall,Europe,Electronics,590,75.96,0.93,4,51.87,91.6,6.49,96.14,499732.22,Low,75.67,86.24,3
SUP023,Rice-Cole,Asia,Chemicals,326,75.44,7.52,22,181.12,75.79,40.57,70.02,293063.73,High,43.38,60.0,1
SUP024,Perkins Ltd,Asia,Chemicals,167,75.17,2.57,28,457.69,83.59,44.63,90.1,338623.19,Medium,41.33,73.11,2
SUP025,Murphy Ltd,North America,Machinery,381,87.46,7.87,10,429.28,97.86,30.56,88.51,23317.08,Low,57.86,71.76,3
SUP026,Roman-Jimenez,Africa,Textiles,420,72.84,2.34,19,365.34,96.05,9.28,74.51,403227.71,Medium,46.08,74.13,2
SUP027,Day-Davis,South America,Electronics,409,88.18,3.78,5,410.61,93.04,71.93,79.51,192990.64,High,92.61,83.76,1
SUP028,"Sweeney, Carson and Case",South America,Raw Materials,831,96.25,3.74,7,339.01,82.27,38.91,92.39,402452.2,Medium,98.56,86.87,2
